location,clinic_name,doctors,address,contact_primary,contacts,contact_notes,google_maps_url,operating_hours_text,general_notes
Bukit Timah,My Clinic,Dr Liem Sian Yang,"9 King Albert Park, #01-50, KAP Residence Mall, Singapore 598332",66108335,66108335,,https://www.google.com/maps/search/?api=1&query=My+Clinic%2C+9+King+Albert+Park%2C+%2301-50%2C+KAP+Residence+Mall%2C+Singapore+598332,Mon - Fri: 9:30am - 1:00pm 2:30pm - 5:00pm | Sat: 9:30am - 1:00pm | Closed on Sun & PH,
Bukit Timah,Our Bukit Timah,Dr Tan Yan Yuan,896 Dunearn Road,65303713,65303713,,https://www.google.com/maps/search/?api=1&query=Our+Bukit+Timah%2C+896+Dunearn+Road,Mon - Fri: 9:00am - 3:00pm,
Bukit Timah,Family Clinic,Dr Chu Yan Ked Joshua,"#03-04, Singapore 589472",89773287,89773287,,https://www.google.com/maps/search/?api=1&query=Family+Clinic%2C+%2303-04%2C+Singapore+589472,5:30pm - 9:00pm (WhatsApp Only) Sat: 9:00am - 1:30pm | Sun: 5:30pm - 9:00pm | Closed on PH,5:30pm - 9:00pm (WhatsApp Only) Sat: 9:00am - 1:30pm
Bukit Timah,Parkway Shenton Medical Group (Toh Yi),Dr Siow Chun Siong,"18 Toh Yi Drive, #01-103, Singapore 590018",62358926,62358926,,https://www.google.com/maps/search/?api=1&query=Parkway+Shenton+Medical+Group+%28Toh+Yi%29%2C+18+Toh+Yi+Drive%2C+%2301-103%2C+Singapore+590018,Mon - Fri: 8:30am - 1:00pm 2:00pm - 5:30pm | Sat: 8:30am - 12:30pm | Closed on Sun & PH,
Bukit Timah,Phoenix Medical Group (Hillview),Dr Meera Ravindran | Dr Low Tiong Keng William,"4 Hillview Rise HillV2, #02-20, Singapore 667979",67107157,67107157,,https://www.google.com/maps/search/?api=1&query=Phoenix+Medical+Group+%28Hillview%29%2C+4+Hillview+Rise+HillV2%2C+%2302-20%2C+Singapore+667979,Mon - Fri: 9.00am - 4:30pm 6:00pm - 8:30pm | Sat: 9:00am - 1:30pm | Sun: 2:00pm - 8:30pm | Closed on PH,
Bukit Timah,Silver Cross Bukit Timah,Dr Cai Gregory,"3 Cheong Chin Nam, Road, Singapore 599728",68751191,68751191,,https://www.google.com/maps/search/?api=1&query=Silver+Cross+Bukit+Timah%2C+3+Cheong+Chin+Nam%2C+Road%2C+Singapore+599728,Mon - Sat: 8.00am - 1:00pm 2:00pm - 9:00pm | Sun & PH: 8.00am - 1:00pm 2:00pm - 5:00pm,
Bukit Timah,Tang Family Clinic,Dr Gavin Tang Wen-Yu,"84 Jalan Jurong Kechil, Singapore 598593",64680118,64680118,,https://www.google.com/maps/search/?api=1&query=Tang+Family+Clinic%2C+84+Jalan+Jurong+Kechil%2C+Singapore+598593,Mon - Fri: 9:00am - 4:00pm | Sat: 9:00am - 2:30pm | Closed on Sun & PH,
Buona Vista,Osler Health International @ Star Vista,Dr Valerie Druon | Dr Sital Khistriya,"1 Vista Exchange, Green, #B1-26/27 The Star, Vista Singapore 138617",63392727,63392727,,https://www.google.com/maps/search/?api=1&query=Osler+Health+International+%40+Star+Vista%2C+1+Vista+Exchange%2C+Green%2C+%23B1-26%2F27+The+Star%2C+Vista+Singapore+138617,Mon - Fri: 8:30am - 5:30pm | Sat: 8:30am - 1:00pm | Closed on Sun & PH,
Buona Vista,Cornerstone Medical,Dr Jolene Tay | Dr Kevin Lim | Dr Eunice Png Su-Yin,"29A Ghim Moh Link, #01-03, Singapore 271029",62620018,62620018,,https://www.google.com/maps/search/?api=1&query=Cornerstone+Medical%2C+29A+Ghim+Moh+Link%2C+%2301-03%2C+Singapore+271029,"Mon, Tues & 9:00am - 3:00pm | Fri: 6:00pm - 9:00pm 9:00am - 3:00pm | Wed & Fri: 9:00am - 1:00pm | Sat: 6:00pm - 9:00pm | Sun: | Closed on PH",
Buona Vista,Keystone Clinic & Surgery (Ghim Moh),Dr Long Jirui Welras,"19 Ghim Moh Road, #01-253, Singapore 270019",60470399,60470399 | 80337004,,https://www.google.com/maps/search/?api=1&query=Keystone+Clinic+%26+Surgery+%28Ghim+Moh%29%2C+19+Ghim+Moh+Road%2C+%2301-253%2C+Singapore+270019,Mon - Sun: 8:00am - 8:00pm (WhatsApp PH: 8:00am - 8:00pm Only),
